Tree.X,Tree.Y,Tree.Colour,Bauble.X,Bauble.Y,Bauble.Colour,Bauble.Size,Lights.X,Lights.Y,Lights.Colour
10,1,chocolate4,6,4,1,1,4,14,2
11,1,chocolate4,9,5,2,3,8,13,2
12,1,chocolate4,15,4,2,1,8,17,1
10,2,chocolate4,17,4,3,1,7,15,1
11,2,chocolate4,5,5,2,2,4,12,3
12,2,chocolate4,13,5,3,1,6,16,2
10,3,chocolate4,16,5,1,2,6,10,4
11,3,chocolate4,7,6,3,2,6,9,2
12,3,chocolate4,10,6,1,2,8,4,2
3,4,#143306,14,6,1,1,7,14,4
4,4,#143306,7,8,1,1,5,15,1
5,4,#143306,9,8,2,1,5,15,2
6,4,#143306,11,8,1,3,9,4,3
7,4,#143306,14,8,2,3,8,8,1
8,4,#143306,8,10,3,3,7,12,2
9,4,#143306,14,10,3,2,4,6,4
10,4,#143306,9,11,2,3,8,15,4
11,4,#143306,12,11,1,1,6,17,3
12,4,#143306,11,12,3,1,3,4,2
13,4,#143306,12,13,2,2,4,15,1
14,4,#143306,14,10,1,2,6,13,1
15,4,#143306,11,16,3,3,8,15,3
16,4,#143306,17,7,3,3,7,10,2
17,4,#143306,10,14,1,2,5,17,3
18,4,#143306,,,,,,,
19,4,#143306,,,,,,,
4,5,#143306,,,,,,,
5,5,#143306,,,,,,,
6,5,#143306,,,,,,,
7,5,#143306,,,,,,,
8,5,#143306,,,,,,,
9,5,#143306,,,,,,,
10,5,#143306,,,,,,,
11,5,#143306,,,,,,,
12,5,#143306,,,,,,,
13,5,#143306,,,,,,,
14,5,#143306,,,,,,,
15,5,#143306,,,,,,,
16,5,#143306,,,,,,,
17,5,#143306,,,,,,,
18,5,#143306,,,,,,,
4,6,#143306,,,,,,,
5,6,#143306,,,,,,,
6,6,#143306,,,,,,,
7,6,#143306,,,,,,,
8,6,#143306,,,,,,,
9,6,#143306,,,,,,,
10,6,#143306,,,,,,,
11,6,#143306,,,,,,,
12,6,#143306,,,,,,,
13,6,#143306,,,,,,,
14,6,#143306,,,,,,,
15,6,#143306,,,,,,,
16,6,#143306,,,,,,,
17,6,#143306,,,,,,,
18,6,#143306,,,,,,,
5,7,#143306,,,,,,,
6,7,#143306,,,,,,,
7,7,#143306,,,,,,,
8,7,#143306,,,,,,,
9,7,#143306,,,,,,,
10,7,#143306,,,,,,,
11,7,#143306,,,,,,,
12,7,#143306,,,,,,,
13,7,#143306,,,,,,,
14,7,#143306,,,,,,,
15,7,#143306,,,,,,,
16,7,#143306,,,,,,,
17,7,#143306,,,,,,,
5,8,#143306,,,,,,,
6,8,#143306,,,,,,,
7,8,#143306,,,,,,,
8,8,#143306,,,,,,,
9,8,#143306,,,,,,,
10,8,#143306,,,,,,,
11,8,#143306,,,,,,,
12,8,#143306,,,,,,,
13,8,#143306,,,,,,,
14,8,#143306,,,,,,,
15,8,#143306,,,,,,,
16,8,#143306,,,,,,,
17,8,#143306,,,,,,,
6,9,#143306,,,,,,,
7,9,#143306,,,,,,,
8,9,#143306,,,,,,,
9,9,#143306,,,,,,,
10,9,#143306,,,,,,,
11,9,#143306,,,,,,,
12,9,#143306,,,,,,,
13,9,#143306,,,,,,,
14,9,#143306,,,,,,,
15,9,#143306,,,,,,,
16,9,#143306,,,,,,,
6,10,#143306,,,,,,,
7,10,#143306,,,,,,,
8,10,#143306,,,,,,,
9,10,#143306,,,,,,,
10,10,#143306,,,,,,,
11,10,#143306,,,,,,,
12,10,#143306,,,,,,,
13,10,#143306,,,,,,,
14,10,#143306,,,,,,,
15,10,#143306,,,,,,,
16,10,#143306,,,,,,,
7,11,#143306,,,,,,,
8,11,#143306,,,,,,,
9,11,#143306,,,,,,,
10,11,#143306,,,,,,,
11,11,#143306,,,,,,,
12,11,#143306,,,,,,,
13,11,#143306,,,,,,,
14,11,#143306,,,,,,,
15,11,#143306,,,,,,,
7,12,#143306,,,,,,,
8,12,#143306,,,,,,,
9,12,#143306,,,,,,,
10,12,#143306,,,,,,,
11,12,#143306,,,,,,,
12,12,#143306,,,,,,,
13,12,#143306,,,,,,,
14,12,#143306,,,,,,,
15,12,#143306,,,,,,,
8,13,#143306,,,,,,,
9,13,#143306,,,,,,,
10,13,#143306,,,,,,,
11,13,#143306,,,,,,,
12,13,#143306,,,,,,,
13,13,#143306,,,,,,,
14,13,#143306,,,,,,,
8,14,#143306,,,,,,,
9,14,#143306,,,,,,,
10,14,#143306,,,,,,,
11,14,#143306,,,,,,,
12,14,#143306,,,,,,,
13,14,#143306,,,,,,,
14,14,#143306,,,,,,,
9,15,#143306,,,,,,,
10,15,#143306,,,,,,,
11,15,#143306,,,,,,,
12,15,#143306,,,,,,,
13,15,#143306,,,,,,,
10,16,#143306,,,,,,,
11,16,#143306,,,,,,,
12,16,#143306,,,,,,,
10,17,#143306,,,,,,,
11,17,#143306,,,,,,,
12,17,#143306,,,,,,,
11,18,#143306,,,,,,,
6,1,blueviolet,,,,,,,
7,1,blueviolet,,,,,,,
8,1,blueviolet,,,,,,,
6,2,blueviolet,,,,,,,
7,2,blueviolet,,,,,,,
8,2,blueviolet,,,,,,,
3,1,firebrick2,,,,,,,
4,1,firebrick2,,,,,,,
3,2,firebrick2,,,,,,,
4,2,firebrick2,,,,,,,
14,1,firebrick2,,,,,,,
15,1,firebrick2,,,,,,,
16,1,firebrick2,,,,,,,
14,2,firebrick2,,,,,,,
15,2,firebrick2,,,,,,,
16,2,firebrick2,,,,,,,
18,1,blueviolet,,,,,,,
19,1,blueviolet,,,,,,,
18,2,blueviolet,,,,,,,
19,2,blueviolet,,,,,,,
