 Title Location eBaySite StartDateTime EndDateTime Category ListingType ItemCondition ListingSold ShippingLocations ShippingCost EndingPrice Currency
0 "teenage mutant ninja turtles game nes mattel pal A cib nintendo boxed" Birdwood,SA,Australia EBAY-AU 2016-03-21T06:18:31.000Z 2016-04-21T08:53:59.000Z Games StoreInventory 5000 EndedWithSales Worldwide 0.0 80.0 AUD
1 "Teenage Mutant Ninja Turtles Nintendo NES Cartridge PAL A Cleaned & Tested" Hornsby,NSW,Australia EBAY-AU 2016-03-22T06:00:52.000Z 2016-04-21T06:00:52.000Z Games StoreInventory 5000 EndedWithoutSales AU 7.45 29.95 AUD
2 "Teenage Mutant Ninja Turtles (TMNT)   (Nintendo NES, )" Beaufort,VIC,Australia EBAY-AU 2016-04-10T04:34:31.000Z 2016-04-20T04:34:31.000Z "Other Video Games" AuctionWithBIN 3000 EndedWithoutSales Worldwide 0 70.0 AUD
3 "NES console + 2 controllers + Teenage Mutant Ninja Turtles PAL" Launceston,TAS,Australia EBAY-AU 2016-03-20T10:57:28.000Z 2016-04-19T10:57:28.000Z Consoles FixedPrice 3000 EndedWithoutSales AU 20.0 120.0 AUD
4 "Nintendo NES PAL A CIB Teenage Mutant Ninja Turtles TMNT" Australia EBAY-AU 2016-04-09T04:18:10.000Z 2016-04-19T04:18:10.000Z Games StoreInventory 5000 EndedWithoutSales Worldwide 8.25 85.0 AUD
5 "Teenage Mutant Ninja Turtles (Nintendo NES, 1985)" "St Clair,NSW,Australia" EBAY-AU 2016-04-13T04:45:50.000Z 2016-04-18T04:45:50.000Z Games Auction 5000 EndedWithSales AU 9.95 19.95 AUD
6 "Teenage Mutant Ninja Turtles TMNT 2 The Arcade Game - Nintendo NES -Aus Pal" Birkenhead,SA,Australia EBAY-AU 2016-04-09T11:23:32.000Z 2016-04-17T09:56:07.000Z Games FixedPrice 4000 EndedWithSales AU 8.95 49.95 AUD
7 "NES NINTENDO GAME - Teenage Mutant Ninja Turtles" "Mount Waverley,VIC,Australia" EBAY-AU 2016-04-10T05:02:02.000Z 2016-04-17T05:02:02.000Z Games Auction 4000 EndedWithSales AU 8.25 24.49 AUD
8 "Teenage Mutant Ninja Turtles NES PAL A Nintendo Entertainment System TMNT" Launceston,TAS,Australia EBAY-AU 2016-04-13T01:51:17.000Z 2016-04-14T12:46:36.000Z Games FixedPrice 6000 EndedWithSales AU 8.25 19.9 AUD
9 "NES Nintendo PAL A AUS Seller Teenage Mutant Ninja Turtles TMNT" Rye,VIC,Australia EBAY-AU 2016-03-15T09:51:42.000Z 2016-04-14T09:51:42.000Z Games StoreInventory 5000 EndedWithoutSales AU 0.0 32.0 AUD
10 "Teenage Mutant Ninja Turtles (Nintendo/NES, 1985) Nintendo Game Cartridge" "Port Melbourne,VIC,Australia" EBAY-AU 2016-03-20T09:29:25.000Z 2016-04-13T07:58:44.000Z Games FixedPrice 5000 EndedWithSales AU 8.5 30.0 AUD
11 "Teenage Mutant Ninja Turtles (Nintendo NES, 1985)" "St Clair,NSW,Australia" EBAY-AU 2016-04-08T04:45:29.000Z 2016-04-13T04:45:29.000Z Games Auction 5000 EndedWithoutSales AU 9.95 19.95 AUD
12 "Nintendo NES Console PAL | Refurbished + NEW 72PIN + TMNT GAME + FREE REG POST" Brisbane,QLD,Australia EBAY-AU 2016-04-10T07:04:22.000Z 2016-04-13T02:45:31.000Z Consoles StoreInventory 2500 EndedWithSales AU 0.0 190.0 AUD
