Title,Company,Rarity,Price ($)
3-D World Runner,Acclaim,C-,3
10 Yard Fight,Nintendo,E,2
1942,Capcom,C,5
1943,Capcom,C+,7
"6 in 1 (Cosmos Cop, Magic Carpet +)",Caltron,A,200+
720Ë,Mindscape,C,3
8 Eyes,Taxan,C-,3
Abadox,Milton Bradley,C+,3
Action 52,Active Enterprises,A,33
"Addams Family, The",Ocean,B,5
"Adventures of Dino Riki, The",Hudson,C,3
Adventure Island,Hudson,D,4
Adventure Island 2,Hudson,B-,8
Adventure Island 3,Hudson,B+,10
Adventures of Bayou Billy (Gun Opt.),Konami,C-,3
"Adventures of Lolo, The",HAL,C+,8
Adventures of Lolo 2,HAL,B-,11
Adventures of Lolo 3,HAL,B+,19
"Adventures of Tom Saywer, The",Seta,B,3
After Burner,Tengen,C+,3
Air Fortress,HAL,C+,3
Airwolf,Acclaim,C,3
Al Unser Racing,Data East,C,2
Aladdin Deck Enhancer (Accessory),Camerica,A+,50
Alfred Chicken,Mindscape,B+,7
Alien 3,LJN,B+,4
Alien Syndrome,Tengen,C+,2
All Pro Basketball,Vic Tokai,C,2
Alpha Mission,SNK,C+,4
Amagon,American Sammy,C,2
American Gladiators,Gametek,B-,4
Anticipation,Nintendo,C-,3
Arch Rivals,Acclaim,C,3
Archon,Activision,B,4
Arkanoid,Taito,B+,9
Arkanoid Controller,Taito,A,12
Arkista's Ring,American Sammy,B+,3
Asterix the Gaul,,,PAL VERSION ONLY
Astyanax,Jaleco,C,3
Athena,SNK,C+,4
Athletic World (Power Pad),Bandai,B-,3
Attack of the Killer Tomatoes,T*HQ,B,3
Baby Boomer (Gun Optional),Color Dreams,B-,10
Back to the Future,LJN,D,3
Back to the Future 2 & 3,LJN,C+,4
Bad Dudes,Data East,C,3
Bad News Baseball,Tecmo,B,4
Bad Street Brawler,Mattel,C+,3
Balloon Fight,Nintendo,C+,5
Bandit Kings of Ancient China,Koei,A-,18
Barbie,Hi Tech,C+,4
Bard's Tale,FCI,B-,5
Base Wars,Ultra,C+,4
Baseball,Nintendo,E,3
Baseball Simulator,Culture Brain,C+,6
Baseball Stars,SNK,C+,9
Baseball Stars 2,Romstar,B+,15
Bases Loaded,Jaleco,E,3
Bases Loaded 2,Jaleco,D,3
Bases Loaded 3,Jaleco,C,3
Bases Loaded 4,Jaleco,B+,8
Batman,Sunsoft,D,3
Batman Return of the Joker,Sunsoft,B,6
Batman Returns,Konami,B,4
Battle Chess,Data East,B-,5
Battle Tank,Absolute,B,3
Battletoads,Tradewest,D,4
"Battle of Olympus, The",Broderbund,C,5
Battleship,Mindscape,B,4
Battletoads & Double Dragon,Tradewest,B+,10
Bee 52,Camerica,B+,5
Beetlejuice,LJN,C+,3
Best of the Best,Electro Brain,B+,3
Bible Adventures,Wisdom Tree,B+,7
Bible Buffet,Wisdom Tree,B+,8
Big Bird's Hide & Speek,Hi Tech,B,4
Big Foot,Acclaim,B-,3
Big Nose Freaks Out,Camerica,A,25+ ?
Big Nose Freaks Out (Aladdin Cart),Camerica,A+,50+ ?
Big Nose the Caveman,Camerica,B,5
Bill & Ted's Excellent Adventure,LJN,C+,3
Bill Elliot NASCAR Racing,Konami,B-,4
Bill Elliot Super Off Road,Tradewest,C+,5
Bionic Commando,Capcom,C,6
"Black Bass, The",Hot B,B,6
Blackjack,American Video,A-,8
Blades of Steel,Konami,D,3
Blaster Master,Sunsoft,D,4
"Blue Marlin, The",Hot B,B+,7
"Blues Brothers, The",Titus,B,3
Bo Jackson Baseball,Data East,B-,3
Bomberman,Hudson,C+,5
Bomberman 2,Hudson,B+,14
Bonk's Adventure,Hudson,A-,30
Boulder Dash,JVC,B+,5
"Boy and His Blob, A",Absolute,C,4
Break Time,FCI,B+,3
Breakthru,Data East,C+,3
Bubble Bath Babes,Panesian,A+,265+ ?
Bubble Bobble,Taito,D,12
Bubble Bobble 2,Taito,B,40
Bucky O'Hare,Konami,B+,6
Bugs Bunny's Birthday Blowout,Kemco,B,4
Bugs Bunny's Crazy Castle,Kemco,B+,5
Bump 'N Jump,Vic Tokai,B-,3
Burai Fighter,Taxan,B-,4
Burgertime,Data East,B-,9
Cabal,Milton Bradley,B-,3
Caesar's Palace,Virgin,B,3
California Games,Milton Bradley,C,4
Captain America,Data East,B,4
Captain Comic,Color Dreams,B,4
Captain Planet,Mindscape,B+,3
Captain Skyhawk,Milton Bradley,C-,2
Casino Kid,Sofel,C+,3
Casino Kid 2,Sofel,B+,8
Castelian,Triffix,B,5
Castle of Deceit,Bunch Games,B+,9
Castle of Dragon,Seta,B,3
Castlequest,Nexoft,B-,3
Castlevania,Konami,E,4
Castlevania II,Konami,C-,5
Castlevania III,Konami,C,6
Caveman Games,Data East,B-,4
Challenge of the Dragon,Color Dreams,A-,13
Championship Bowling,Romstar,B-,3
Championship Pool,Mindscape,B+,6
Cheetahmen 2,Active Enterprises,A,20+ ?
Chessmaster,Hi Tech,B,5
Chiller (Gun Optional),American Game Carts,Inc B+,8
Chip N' Dale Rescue Rangers,Capcom,C+,4
Chip N' Dale Rescue Rangers 2,Capcom,B+,13
Chubby Cherub,Bandai,B+,3
Circus Caper,Toho,B,4
City Connection,Jaleco,B,3
Clash at Demonhead,Vic Tokai,B-,5
Classic Concentration,Gametek,B,6
Cliffhanger,Imagesoft,B+,3
Clu Clu Land,Nintendo,B-,5
Cobra Command,Data East,C,4
Cobra Triangle,Nintendo,B,3
Codename: Viper,Capcom,C,2
Color A Dinosaur,Virgin,A-,11
Commando,Capcom,C-,3
Conan,Mindscape,B+,3
Conflict,Vic Tokai,B+,10
Conquest of the Crystal Palace,Asmik,B-,4
Probotector,Konami,E,11
Probotector II,Konami,B,15
Cool World,Ocean,B,4
Cowboy Kid,Romstar,A-,7
Crash and the Boys' Street Challenge,American Technos,B,10
Crash Dummies,LJN,B,2
Crystal Mines,Color Dreams,B+,7
Crystalis,SNK,C,5
Cyberball,Jaleco,B,3
Cybernoid,Acclaim,C,2
Dance Aerobics (Power Pad),Nintendo,C+,3
Darkman,Ocean,B,4
Darkwing Duck,Capcom,B+,7
Dash Galaxy,Data East,C,2
Day Dreamin' Davey,HAL,B+,4
Days of Thunder,Mindscape,C+,3
Deadly Towers,Broderbund,C+,2
Death Race,American Game Carts,Inc B+,10
Deathbots,American Video,B+,5
Defender 2,HAL,B,4
Defender of the Crown,Ultra,C+,3
Defenders of Dynatron City,JVC,B+,5
Deja Vu,Kemco,C+,3
Demon Sword,Taito,C+,2
Desert Commander,Kemco,C-,2
Destination Earthstar,Acclaim,C,3
Destiny of an Emperor,Capcom,B,11
Dick Tracy,Bandai,C+,2
Die Hard,Activision,B+,12
Dig Dug II,Bandai,B,5
Digger T. Rock,Milton Bradley,B+,5
Dirty Harry,Mindscape,C+,4
Disney Adventures in Magic Kingdom,Capcom,B,4
Dizzy the Adventurer (Aladdin Cart),Camerica,A+,25
Donkey Kong,Nintendo,B-,5
Donkey Kong 3,Nintendo,B-,11
Donkey Kong Classics,Nintendo,B-,7
Donkey Kong Jr.,Nintendo,B-,5
Donkey Kong Jr. Math,Nintendo,A-,13
Double Dare,Gametek,B,4
Double Dragon,Tradewest,E,3
Double Dragon II,Acclaim,D,4
Double Dragon III,Acclaim,C+,6
Double Dribble,Konami,D,3
Double Strike,American Video,B+,4
Dr. Chaos,FCI,C+,3
Dr. Jekyll & Mr. Hyde,Bandai,C+,2
Dr. Mario,Nintendo,D,5
Dracula,Imagesoft,B,5
Dragon Fighter,Sofel,B+,8
Dragon Power,Bandai,C,4
Dragon Spirit,Bandai,C+,3
Dragon Strike,FCI,B,5
Dragon Warrior,Nintendo,E,6
Dragon Warrior II,Enix,C+,20
Dragon Warrior III,Enix,B+,25
Dragon Warrior IV,Enix,B+,35
Dragon's Lair,Imagesoft,B,3
Duck Hunt,Nintendo,F,1
Duck Tales,Capcom,C+,5
Duck Tales 2,Capcom,B+,11
Dudes with Attitude,American Video,B+,4
Dungeon Magic,Taito,C,3
Dusty Diamond's All Star Softball,Broderbund,A-,20
Dyno Warz,Bandai,C+,2
Elevator Action,Taito,B-,4
Eliminator Boat Duel,Electro Brain,B-,6
"Empire Strikes Back, The",JVC,B,6
Everet & Lendel Top Player's Tennis,Asmik,C+,3
Excitebike,Nintendo,E,5
Exodus,Wisdom Tree,B+,4
F-117 Stealth,Microprose,B+,6
F-15 City War,American Video,B,3
F-15 Strike Eagle,Microprose,B+,7
Family Feud,Gametek,B+,6
Fantastic Adv. Dizzy (Aladdin Cart),Camerica,A+,25
Fantastic Adventures of Dizzy,Camerica,B-,3
Fantasy Zone,Tengen,B-,4
Faria,Nexoft,A-,18
Faxanadu,Nintendo,C-,4
Felix the Cat,Hudson,B+,7
Ferrari Grand Prix,Acclaim,B,3
Fester's Quest,Sunsoft,C,3
Final Fantasy,Nintendo,C+,14
Fisher Price Perfect Fit,Gametek,B,3
Fire and Ice,Tecmo,A-,13
Fire Hawk,Camerica,B,3
Firehouse Rescue,Gametek,B,5
"Fist of the North Star, The",Taxan,C+,5
Flight of the Intruder,Mindscape,B,4
"Flintstones, The",Taito,C+,4
Flintstones 2: Surprise at Dino Peak,Taito,A-,41
Flying Dragon,Culture Brain,C,2
Flying Warriors,Culture Brain,C,2
Formula One: Built to Win,Seta,B+,5
Frankenstein,Bandai,B,4
Freedom Force (Gun Required),Sunsoft,C-,3
Friday the 13th,LJN,D,4
Fun House,Hi Tech,B+,4
G.I. Joe,Taxan,B+,12
G.I. Joe: Atlantis Factor,Capcom,C+,7
Galactic Crusader,Bunch Games,B,6
Galaga,Bandai,B-,7
Galaxy 5000,Activision,A-,8
Game Action Replay (Accessory),STD,A-,75+ ?
Game Genie (Accessory),Galoob,D,5
Gargoyle's Quest 2,Capcom,B+,8
Gauntlet (licensed),Tengen,C,3
Gauntlet (unlicensed),Tengen,C,4
Gauntlet 2,Mindscape,C,3
Gemfire,Koei,B,6
Genghis Kahn,Koei,C+,8
George Foreman KO Boxing,Acclaim,B,2
Ghost Lion,Kemco,B+,6
Ghostbusters,Activision,B-,4
Ghostbusters 2,Activision,B,4
Ghosts 'N Goblins,Capcom,C,6
Ghoul School,Electro Brain,B-,2
Gilligan's Island,Bandai,B+,9
Goal!,Jaleco,D,2
Goal! 2,Jaleco,B-,4
Godzilla,Toho,C+,3
Godzilla 2,Toho,B,8
Gold Medal Challenge,Capcom,B+,3
Golf,Nintendo,E,2
Golf Grand Slam,Atlus,B+,3
Golf Pebble Beach,Bandai,C+,4
Golf Power,Virgin,B+,4
Golgo 13: Top Secret Episode,Vic Tokai,D,3
Goonies 2,Konami,C+,3
Gotcha! (Gun Required),LJN,C,3
Gradius,Konami,C-,3
"Great Waldo Search, The",T*HQ,B-,4
Gremlins 2,Sunsoft,B-,4
"Guardian Legend, The",Broderbund,C+,4
Guerilla War,SNK,C+,5
Gum Shoe (Gun Required),Nintendo,C+,3
Gun Nac,Ascii,B+,5
Gunsmoke,Capcom,B-,3
Gyromite,Nintendo,E,3
Gyruss,Ultra,C+,3
"Harlem Globetrotters, The",Gametek,B,3
Hatris,Bullet Proof,A-,7
Heavy Barrel,Data East,C,4
Heavy Shreddin',Parker Brothers,B-,3
Heroes of the Lance,FCI,B,4
High Speed,Tradewest,B-,3
Hillsfar,FCI,B+,5
Hogans Alley,Nintendo,D,3
Hollywood Squares,Gametek,B-,3
Home Alone,T*HQ,B-,3
Home Alone 2,T*HQ,B-,4
Hook,Imagesoft,B,3
Hoops,Jaleco,C-,2
Hot Slots,Panesian,A+,280
Hudson Hawk,Imagesoft,B,3
"Hunt for Red October, The",Hi Tech,C,2
Hydlide,FCI,D,2
I Can Remember,Gametek,B,3
Ice Climber,Nintendo,C+,6
Ice Hockey,Nintendo,D,3
Ikari Warriors,SNK,C-,2
Ikari Warriors 2,SNK,C+,3
Ikari Warriors 3,SNK,B,4
Image Fight,Irem,B+,4
"Immortal, The",Electronic Arts,B,4
Impossible Mission 2,American Video,A-,5
Impossible Mission 2,SEI,B+,3
Indiana Jones and the Last Crusade,Taito,B+,6
Indiana Jones and the Last Crusade,UBI Soft,B+,5
Indiana Jones and the Temple of Doom,Mindscape,C,4
Indiana Jones and the Temple of Doom,Tengen,B-,5
Indy Heat,Tradewest,B+,8
Infiltrator,Mindscape,B,3
